PlayerID,Name,Team,Week,pass_yds,rush_yds,recv_yds,tds,fumbles,total_yards,efficiency
24247,Quan Martin,WAS,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19847,Mike Hughes,ATL,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24233,Ji'Ayir Brown,SF,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21001,Rock Ya-Sin,DET,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14375,Lavonte David,TB,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19834,Vita Vea,TB,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21542,Chase McLaughlin,TB,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19893,M.J. Stewart,HOU,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16767,Leonard Williams,SEA,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24119,Andrei Iosivas,CIN,7,0.0,0.0,75.3,0.0,0.0,75.3,0.0
24144,Bryan Bresee,NO,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24924,Xavier Worthy,KC,7,0.0,20.0,53.8,0.0,0.0,73.8,0.0
21807,Colby Parkinson,LAR,7,0.0,0.0,72.2,0.0,0.0,72.2,0.0
24927,Caleb Williams,CHI,7,264.2,-3.1,0.0,0.0,0.0,261.09999999999997,0.0
25027,Kamren Kinchens,LAR,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21131,Nick Scott,CAR,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22334,Christian Rozeboom,CAR,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21054,Devin Bush,CLE,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25184,Myles Harden,CLE,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24134,Malachi Moore,NYJ,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23515,Jordan Davis,PHI,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24135,Kelee Ringo,PHI,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19084,Xavier Woods,TEN,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19985,Sebastian Joseph-Day,TEN,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20811,Amani Hooker,TEN,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20778,Dre Greenlaw,DEN,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23367,Ja'Quan McMillian,DEN,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19014,Grover Stewart,IND,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22078,Neville Gallimore,IND,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26613,Johnathan Edwards,IND,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22787,Benjamin St-Juste,LAC,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18292,Roy Robertson-Harris,NYG,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25243,Darius Muasau,NYG,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22921,Nate Hobbs,GB,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18905,Marshon Lattimore,WAS,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19065,Jeremy McNichols,WAS,7,0.0,33.8,35.3,0.0,0.0,69.1,0.0
25147,Mike Sainristil,WAS,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22822,Ta'Quon Graham,ATL,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23610,Sam Roberts,ATL,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24245,Darrell Luter Jr.,SF,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25163,Malik Mustapha,SF,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23217,Rachaad White,TB,7,0.0,58.4,14.2,0.0,0.0,72.6,0.0
24116,Blake Corum,LAR,7,0.0,56.8,14.2,0.0,0.0,71.0,0.0
20805,T.J. Hockenson,MIN,7,0.0,0.0,66.0,0.0,0.0,66.0,0.0
19766,Saquon Barkley,PHI,7,0.0,67.6,-3.1,0.0,0.0,64.5,0.0
18912,Evan Engram,DEN,7,0.0,0.0,64.5,0.0,0.0,64.5,0.0
23151,Drake London,ATL,7,0.0,0.0,64.5,0.0,0.0,64.5,0.0
21739,Van Jefferson,TEN,7,0.0,0.0,63.0,0.0,0.0,63.0,0.0
22492,Justin Fields,NYJ,7,70.7,33.8,0.0,0.0,0.0,104.5,0.0
26068,Demetrius Knight Jr.,CIN,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19070,Chuck Clark,PIT,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16778,Arik Armstead,JAX,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18029,Eric Murray,JAX,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20737,Josh Hines-Allen,JAX,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24108,Emmanuel Forbes Jr.,LAR,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24474,Kobie Turner,LAR,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20967,Jerry Tillery,KC,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23512,Thomas Booker IV,LV,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23558,Jack Jones,MIA,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21118,Blake Cashman,MIN,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24281,Jalen Redmond,MIN,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23729,Rashid Shaheed,NO,7,0.0,0.0,61.4,0.0,0.0,61.4,0.0
26159,Jonas Sanker,NO,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23337,Sauce Gardner,NYJ,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23382,Jermaine Johnson II,NYJ,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26144,Kiko Mauigoa,NYJ,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19041,Jake Elliott,PHI,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25030,Quinyon Mitchell,PHI,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24123,Tyjae Spears,TEN,7,0.0,33.8,27.6,0.0,0.0,61.4,0.0
25298,Cam Hart,LAC,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26198,Jamaree Caldwell,LAC,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22704,Paulson Adebo,NYG,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24173,Michael Wilson,ARI,7,0.0,0.0,61.4,0.0,0.0,61.4,0.0
25138,Dadrion Taylor-Demerson,ARI,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23320,Kaiir Elam,DAL,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26297,Trikweze Bridges,DAL,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23732,Parker Romo,ATL,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24285,Dee Winters,SF,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26075,Alfred Collins,SF,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
